airport_id,iata_code,icao_code,airport_name,city,state,latitude,longitude,tz_offset,congestion_factor,country
1,ATL,KATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.6407,-84.4277,-5,1.25,USA
2,ORD,KORD,O'Hare International Airport,Chicago,IL,41.9742,-87.9073,-6,1.38,USA
3,DFW,KDFW,Dallas/Fort Worth International,Dallas,TX,32.8998,-97.0403,-6,1.28,USA
4,DEN,KDEN,Denver International Airport,Denver,CO,39.8561,-104.6737,-7,1.22,USA
5,CLT,KCLT,Charlotte Douglas International,Charlotte,NC,35.2144,-80.9473,-5,1.15,USA
6,LAX,KLAX,Los Angeles International,Los Angeles,CA,33.9416,-118.4085,-8,1.3,USA
7,LAS,KLAS,Harry Reid International Airport,Las Vegas,NV,36.084,-115.1537,-8,1.12,USA
8,PHX,KPHX,Phoenix Sky Harbor International,Phoenix,AZ,33.4373,-112.0078,-7,1.1,USA
9,MCO,KMCO,Orlando International Airport,Orlando,FL,28.4312,-81.3081,-5,1.2,USA
10,SEA,KSEA,Seattle-Tacoma International,Seattle,WA,47.4502,-122.3088,-8,1.18,USA
11,MIA,KMIA,Miami International Airport,Miami,FL,25.7959,-80.287,-5,1.22,USA
12,IAH,KIAH,George Bush Intercontinental,Houston,TX,29.9902,-95.3368,-6,1.2,USA
13,JFK,KJFK,John F. Kennedy International,New York,NY,40.6413,-73.7781,-5,1.42,USA
14,EWR,KEWR,Newark Liberty International,Newark,NJ,40.6895,-74.1745,-5,1.45,USA
15,SFO,KSFO,San Francisco International,San Francisco,CA,37.6213,-122.379,-8,1.4,USA
16,BOS,KBOS,Logan International Airport,Boston,MA,42.3656,-71.0096,-5,1.26,USA
17,MSP,KMSP,Minneapolis-Saint Paul International,Minneapolis,MN,44.8848,-93.2223,-6,1.16,USA
18,DTW,KDTW,Detroit Metropolitan Airport,Detroit,MI,42.2162,-83.3554,-5,1.14,USA
19,FLL,KFLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,26.0742,-80.1506,-5,1.21,USA
20,PHL,KPHL,Philadelphia International Airport,Philadelphia,PA,39.8729,-75.2437,-5,1.24,USA
21,BWI,KBWI,Baltimore/Washington International,Baltimore,MD,39.1774,-76.6684,-5,1.15,USA
22,SLC,KSLC,Salt Lake City International,Salt Lake City,UT,40.7899,-111.9791,-7,1.05,USA
23,SAN,KSAN,San Diego International Airport,San Diego,CA,32.7338,-117.1933,-8,1.12,USA
24,IAD,KIAD,Washington Dulles International,Washington,DC,38.9531,-77.4565,-5,1.18,USA
25,TPA,KTPA,Tampa International Airport,Tampa,FL,27.9755,-82.5332,-5,1.1,USA
26,MDW,KMDW,Chicago Midway International,Chicago,IL,41.7868,-87.7522,-6,1.22,USA
27,BNA,KBNA,Nashville International Airport,Nashville,TN,36.1263,-86.6774,-6,1.16,USA
28,AUS,KAUS,Austin-Bergstrom International,Austin,TX,30.1975,-97.6664,-6,1.14,USA
29,DAL,KDAL,Dallas Love Field,Dallas,TX,32.8481,-96.8512,-6,1.15,USA
30,PDX,KPDX,Portland International Airport,Portland,OR,45.5898,-122.5951,-8,1.08,USA
