flight_id,flight_date,carrier_code,flight_number,tail_number,origin_airport,dest_airport,sched_dep_time,dep_time,dep_delay,taxi_out,sched_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,distance,air_time,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
1,2024-04-12,AA,1036,N198AA,SFO,IAD,06:45,06:43,-2,21,12:45,12:53,8,0,,0,2413,340,0,0,0,0,0
2,2024-12-14,AA,3836,N139AA,CLT,BOS,05:50,06:12,22,19,08:08,08:29,21,0,,0,727,114,11,3,5,0,2
3,2024-09-27,OO,1946,N188OO,SFO,DEN,18:50,18:47,-3,18,21:39,21:38,-1,0,,0,965,144,0,0,0,0,0
4,2024-04-16,AA,489,N115AA,EWR,SAN,13:20,14:30,70,15,19:17,20:12,55,0,,0,2420,324,24,12,5,0,14
5,2024-03-12,UA,3236,N181UA,DAL,BWI,14:25,14:20,-5,13,17:49,17:37,-12,0,,0,1207,177,0,0,0,0,0
6,2024-07-07,WN,502,N217WN,BNA,DAL,21:10,21:07,-3,14,23:13,23:14,1,0,,0,622,105,0,0,0,0,0
7,2024-01-21,AA,2311,N137AA,DAL,LAX,00:25,00:36,11,16,03:51,04:10,19,0,,0,1244,187,7,1,2,0,9
8,2024-04-12,WN,4244,N147WN,LAX,DFW,20:25,20:22,-3,17,23:50,23:46,-4,0,,0,1232,179,0,0,0,0,0
9,2024-05-01,AA,919,N178AA,DFW,DEN,10:20,10:21,1,20,12:27,12:27,0,0,,0,641,102,0,0,0,0,0
10,2024-08-02,WN,4125,N128WN,DEN,EWR,18:40,18:41,1,20,22:53,22:58,5,0,,0,1601,230,0,0,0,0,0
11,2024-11-26,WN,5043,N128WN,DFW,LAX,11:45,11:44,-1,18,15:12,15:13,1,0,,0,1232,185,0,0,0,0,0
12,2024-03-28,NK,2981,N117NK,JFK,IAD,14:50,14:50,0,19,16:07,16:08,1,0,,0,227,48,0,0,0,0,0
13,2024-04-09,G4,5841,N161G4,ORD,SLC,18:30,18:40,10,16,21:57,22:11,14,0,,0,1247,184,0,0,0,0,0
14,2024-12-25,AS,2688,N119AS,DFW,MIA,18:45,18:44,-1,13,21:53,21:56,3,0,,0,1120,171,0,0,0,0,0
15,2024-05-31,AA,5432,N158AA,SLC,ATL,12:25,12:24,-1,30,16:40,16:46,6,0,,0,1587,229,0,0,0,0,0
16,2024-05-10,UA,3104,N195UA,CLT,MSP,09:25,09:25,0,23,12:13,12:25,12,0,,0,930,142,0,0,0,0,0
17,2024-05-29,WN,5689,N177WN,LAS,MSP,18:05,18:04,-1,23,21:40,21:45,5,0,,0,1297,194,0,0,0,0,0
18,2024-11-04,AA,2863,N147AA,LAX,MDW,18:35,18:28,-7,17,23:09,22:54,-15,0,,0,1747,244,0,0,0,0,0
